name,distance,mass,radius,,name,distance,mass,radius
Rho Cassiopeiae,"8,154",22,636-981,79,SDSS J074201.41+205520.5 [de],49.0,0.010243427143929998,0.09659721999999998
P Cygni,"5,545",30,76,81,DENIS-P J0751164-253043 [de],55.0,0.01129945056083,0.10584589
La Superba,"1,000",,129 - 342,82,2MASS J07522390+1612157,60.0,0.01077143885238,0.20655362999999996
VV Cephei,"4,900",18.2,"516 - 1,050",83,DENIS J081730.0-615520,16.1,0.010665836510689999,0.09659721999999998
61 Cygni,11.41,0.7,0.665,86,2MASS J08251968+2115521 [de],35.0,0.019008421504199995,0.10070773999999999
R Doradus,178,0.7 - 1.0,298,87,SDSSp J083008.12+482847.4 [de],43.0,0.01309469036956,0.10173536999999999
Polaris Australis,281,1.59,3.74,88,LHS 2021,55.0,0.010137824802239999,0.11817744999999999
R Coronae Borealis,"4,566",0.85,85,89,SDSS J083048.80+012831.1 [de],77.0,0.023232515171799997,0.09865247999999999
54 Piscium,36.1,0.76,0.94,90,2MASSI J0835425-081923 [de],23.53,0.015840351253499998,0.102763
Mira,300,1.2,370,91,2MASSI J0847287-153237 [de],43.0,0.010560234168999998,0.102763
RW Cephei,"14,000",13.9,"1,158",92,2MASS J08533619-0329321,27.6,0.018058000428989997,0.10995641
Lacaille 8760,12.87,0.6,0.51,93,2MASSI J0859254-194926 [de],50.0,0.009926620118859997,0.10070773999999999
V838 Monocerotis,"19,896",?,380 - 750,95,2MASSI J0937347+293142,20.0,0.021120468337999996,0.09659721999999998
HD 140283,190,?,1.4,96,2MASS 0939−2448,17.4,0.010349029485619998,0.09762484999999999
II Pegasi,130,0.8,3.4,97,2MASS J09490860-1545485 [de],59.0,0.010349029485619998,0.09865247999999999
VY Canis Majoris,"3,900",17,"1,420",98,2MASS J10073369-4555147,46.0,0.010349029485619998,0.09659721999999998
Pistol Star,"25,000",100,320,99,2MASSI J1010148-040649 [de],55.0,0.010665836510689999,0.10070773999999999
S Doradus,"1,69,000",24,380,102,2MASS J10224821+5825453 [de],60.0,0.010560234168999998,0.14489582999999998
UY Scuti,"5,100",7–10,755,103,2MASSW J1036530-344138 [de],53.0,0.010137824802239999,0.09968010999999999
Barnard's Star,5.98,0.14,0.2,104,2MASS J1047538+212423 [de],34.4,0.010454631827309999,0.09659721999999998
Luhman 16,6.52,0.04,?,105,DEN 1048-3956,13.15,0.013939509103079999,0.10995641
Proxima Centauri,4.25,0.12,0.15,106,Luhman 16B,6.516,0.011193848219139999,0.10481826
KIC 8462852,"1,470",1.43,1.58,107,Luhman 16A,6.516,0.010877041194069998,0.10379063
R136a1,"1,63,000",290,32,108,DENIS-P J1058.7−1548,49.0,0.012566678661109998,0.102763
Melnick 42,"1,63,000",189,21.1,109,TWA 28,180.0,0.010454631827309999,0.24560357
WR 102,"18,134",19,0.39,110,Cha 110913-773444,163.0,0.015840351253499998,0.18497339999999998
VFTS 352,"1,64,000",57.48,14.47,112,SDSS J111010.01+011613.1,63.0,0.01108824587745,0.12742612
YBP 1194,"2,772",1.01,0.99,113,2MASS J11145133−2618235,18.2,0.009926620118859997,0.09865247999999999
Gliese 1214,47.5,0.16,0.21,114,TWA 26,137.0,0.009926620118859997,0.2260786
NML Cygni,"5,251",50,"1,640 - 2,770",116,2MASS J11544223-3400390 [de],129.0,0.010454631827309999,0.1541445
VB 10,18.72,0.075,0.1,117,2MASSW J1155395-372735 [de],31.0,0.01140505290252,0.102763
WOH G64,"1,63,000",<20,"1,540 - 1,730",120,2MASS J12074836-3900043,217.0,0.010560234168999998,0.17572473
TRAPPIST-1,39.6,0.089,0.12,121,2MASSI J1217110-031113 [de],36.0,0.009926620118859997,0.09659721999999998
2MASS J0523-1403,40.3,0.07,0.086,124,2M 1237+6526,45.6,0.009926620118859997,0.09659721999999998
WISE 0855−0714,7.27,0.003,?,126,TWA 29,262.0,0.010877041194069998,0.205526
Icarus,"14,40,00,00,000",33,?,127,SDSSp J125453.90-012247.4 [de],38.0,0.010243427143929998,0.10070773999999999
