,name,distance,mass,radius
173,2MASSI J2104149-103736,62.0,69,0.10481826
174,PSO J318.5−22,80.0,6.5,0.15722739
175,HB 2124-4228,113.0,94,0.12434322999999999
176,2MASS J21392676+0220226,32.1,46,0.09865247999999999
177,2MASS J21481628+4003593,26.3,55,0.10173536999999999
179,2MASSW J2206450-421721,93.0,22,0.13667479
180,2MASSW J2208136+292121,154.0,27,0.14489582999999998
181,2MASSW J2224438-015852,38.0,61,0.10173536999999999
182,2MASS J22282889-4310262,35.0,42,0.09659721999999998
183,2MASS J22373255+3922398,64.0,73,0.10687352
184,2MASSW J2244316+204343,56.0,12,0.13256426999999998
185,2MASS J23224684-3133231,56.0,24,0.14284056999999997
186,2MASS J23225299-6151275,148.0,17,0.16339317
187,2MASS J23515044-2537367,67.0,88,0.11920507999999998
188,2MASSI J2356547-155310,74.0,80,0.11201167000000001
226,WISE 0410+1502,20.0,6,0.12023270999999998
230,WISE 0458+6434A,35.9,15,0.4316046
231,WISE 0458+6434B,35.9,10,0.39049939999999994
285,WISE 1405+5534,25.3,30,0.08837618
